espn_id,name,team,position,points
17650,Tyler Kroft,CIN,TE,55.8
18599,Courtland Sutton,DEN,WR,55.7
17752,Corey Grant,JAX,RB,54.1
15204,Garrett Celek,SF,TE,53.2
16020,Spencer Ware,KC,RB,51.7
18232,Jordan Leggett,NYJ,TE,51.7
17886,Tyler Higbee,LAR,TE,51.6
17690,Jesse James,PIT,TE,50.4
18693,Chase Edmonds,ARI,RB,50.1
15896,Brice Butler,ARI,WR,50.1
18183,Jonnu Smith,TEN,TE,49.8
8664,Ryan Fitzpatrick,TB,QB,49.3
18608,Dallas Goedert,PHI,TE,49.0
14894,Robert Turbin,IND,RB,48.7
18603,Dante Pettis,SF,WR,47.5
17192,TJ Jones,DET,WR,46.9
17869,C.J. Prosise,SEA,RB,45.7
15457,Travaris Cadet,BUF,RB,45.6
18181,De'Angelo Henderson,DEN,RB,43.2
18466,Keelan Cole,JAX,WR,42.9
18354,Joe Williams,SF,RB,42.0
16172,Jaron Brown,SEA,WR,42.0
18286,T.J. Logan,ARI,RB,40.7
18214,Josh Reynolds,LAR,WR,39.5
17189,Demetrius Harris,KC,TE,39.3
17583,Jeff Heuerman,DEN,TE,39.0
17134,Alfred Blue,HOU,RB,38.2
18718,Daurice Fountain,IND,WR,38.0
17883,Chris Moore,BAL,WR,37.4
12556,Kenny Britt,NE,WR,37.0
18079,Jalen Richard,OAK,RB,36.4
18692,J'Mon Moore,GB,WR,36.1
18233,Wayne Gallman,NYG,RB,35.9
18027,Stephen Anderson,HOU,TE,35.7
18170,Chad Hansen,NYJ,WR,34.6
18666,Chris Herndon IV,NYJ,TE,34.5
17604,Nick O'Leary,BUF,TE,34.2
18662,Keke Coutee,HOU,WR,34.0
18759,Boston Scott,NO,RB,33.9
17713,Geoff Swaim,DAL,TE,33.8
17638,Chris Conley,KC,WR,33.6
18287,Ryan Switzer,OAK,WR,33.1
18236,James Conner,PIT,RB,32.9
14032,Torrey Smith,CAR,WR,32.8
18690,Kalen Ballage,MIA,RB,32.4
15807,Cordarrelle Patterson,NE,WR,31.5
17947,Jakeem Grant,MIA,WR,31.4
17138,Damien Williams,KC,RB,30.6
17781,Rod Smith,DAL,RB,30.5
17840,Tyler Boyd,CIN,WR,30.1
18488,Sean Culkin,LAC,TE,29.8
18650,Tre'Quan Smith,NO,WR,29.8
18169,Chad Williams,ARI,WR,29.6
18350,Mack Hollins,PHI,WR,29.4
15003,Rhett Ellison,NYG,TE,28.7
16793,Cody Latimer,NYG,WR,28.7
18744,Deon Cain,IND,WR,28.5
14215,Lee Smith,OAK,TE,28.2
17567,Nick Boyle,BAL,TE,27.5
18733,Marquez Valdes-Scantling,GB,WR,27.1
17910,Seth DeValve,CLE,TE,26.9
18672,DaeSean Hamilton,DEN,WR,26.9
17703,Kevin White,CHI,WR,26.7
17475,Clive Walford,NYJ,TE,26.5
17811,Laquon Treadwell,MIN,WR,26.4
16143,Josh Hill,NO,TE,25.5
18590,Lamar Jackson,BAL,QB,25.4
18818,Blake Jarwin,DAL,TE,25.4
17888,Malcolm Mitchell,NE,WR,25.0
9614,Marcedes Lewis,GB,TE,24.8
17949,David Morgan,MIN,TE,24.1
18463,J.D. McKissic,SEA,RB,22.3
17895,Tyler Ervin,HOU,WR,22.2
14901,Dwayne Allen,NE,TE,20.8
18664,Antonio Callaway,CLE,WR,20.7
18724,Jaylen Samuels,PIT,RB,20.7
17626,Aaron Ripkowski,GB,RB,20.4
17542,Justin Hardy,ATL,WR,20.0
15980,Levine Toilolo,DET,TE,19.9
18467,Kendrick Bourne,SF,WR,19.8
15845,Justin Hunter,PIT,WR,19.8
18715,Troy Fumagalli,DEN,TE,19.4
17711,A.J. Derby,MIA,TE,19.3
18685,Ito Smith,ATL,RB,18.9
18682,Durham Smythe,MIA,TE,18.9
18809,Justin Jackson,LAC,RB,18.6
16227,Russell Shepard,NYG,WR,18.4
13726,Logan Paulsen,ATL,TE,18.4
18765,Equanimeous St. Brown,GB,WR,18.1
18657,Jordan Akins,HOU,TE,18.0
14156,Niles Paul,JAX,TE,17.9
18671,Mark Walton,CIN,RB,17.3
18696,Dalton Schultz,DAL,TE,16.9
18691,Jaleel Scott,BAL,WR,16.8
14332,Patrick DiMarco,BUF,RB,16.7
18194,Samaje Perine,WSH,RB,16.6
18429,Marcus Johnson,SEA,WR,16.4
16055,Benny Cunningham,CHI,RB,16.3
16813,Logan Thomas,BUF,TE,16.2
15503,Deonte Thompson,DAL,WR,16.2
17900,Demarcus Robinson,KC,WR,16.2
14403,Andre Holmes,BUF,WR,15.5
18784,David Williams,DEN,RB,15.1
15973,Tommy Bohanon,JAX,RB,14.9
15952,Mike Gillislee,NE,RB,14.6
15921,Kenjon Barner,CAR,RB,14.6
15974,Dion Sims,CHI,TE,14.3
17937,Andy Janovich,DEN,RB,14.0
16728,Teddy Bridgewater,NYJ,QB,13.8
15555,Joshua Bellamy,CHI,WR,13.5
18679,Will Dissly,SEA,TE,13.4
18660,Ian Thomas,CAR,TE,12.9
17374,Keith Smith,OAK,RB,12.6
15391,Rod Streater,BUF,WR,12.3
14193,Jacquizz Rodgers,TB,RB,12.3
16366,Zach Line,NO,RB,12.0
17912,Tajae Sharpe,TEN,WR,12.0
