Rank,Player,Team,Position,Rush,Rush Yds,Rush TDs,0-9 RushTDs,10-19 RushTDs,20-29 RushTDs,30-39 RushTDs,40-49 RushTDs,50+ RushTDs,>= 50yds,>= 100yds,>= 150yds,>= 200yds,Rec,Rec Yds,Rec TDs,>= 50yds,>= 100yds,Punt Ret Yds,Kick Ret Yds,Fum Lost,Scoring Opps,Pts
82,"Ajayi, Jay",MIA,RB,62.9,214.3,1.1,0.0,1.1,0.0,0.0,0.0,0.0,0.9,0.4,0.1,0.1,13.7,145.9,0.0,0.6,0.3,0.0,46.9,0.0,26.5,42.5
83,"Asiata, Matt",MIN,RB,52.2,194.2,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.8,0.4,0.1,0.0,23.7,194.4,0.5,0.8,0.4,0.0,0.0,0.4,17.3,42.3
84,"Michael, Christine",SEA,RB,98.3,354.6,0.4,0.4,0.0,0.0,0.0,0.0,0.0,1.4,0.7,0.2,0.1,8.3,58.6,0.0,0.2,0.1,0.0,0.0,0.8,13.7,42.3
85,"Jackson, Fred",SEA,RB,25.9,94.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.2,0.1,0.0,29.6,239.5,1.0,1.0,0.5,0.0,0.0,0.0,16.8,39.7
86,"Oliver, Branden",SDC,RB,74.1,232.7,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.9,0.5,0.2,0.1,19.6,159.8,0.0,0.6,0.3,0.0,113.6,0.8,23.4,38.2
87,"Williams, Kerwynn",ARZ,RB,82.3,312.6,0.3,0.0,0.0,0.0,0.3,0.0,0.0,1.3,0.6,0.2,0.1,8.4,32.1,0.0,0.1,0.1,0.0,153.5,0.0,24.8,36.4
88,"Turbin, Robert",IND,RB,75.1,253.7,0.2,0.2,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.2,0.1,14.1,80.2,0.4,0.3,0.2,0.0,19.3,0.8,30.2,35.1
89,"Brown, Donald",NEP,RB,72.5,271.9,0.2,0.2,0.0,0.0,0.0,0.0,0.0,1.1,0.5,0.2,0.1,9.6,66.9,0.0,0.3,0.1,0.0,0.0,0.0,8.2,34.8
90,"Cadet, Travaris",NOR,RB,12.2,30.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,27.7,272.3,1.0,1.1,0.5,21.6,141.3,1.5,8.7,33.2
91,"Williams, Andre",NYG,RB,78.2,254.8,0.9,0.6,0.2,0.0,0.0,0.0,0.0,1.0,0.5,0.2,0.1,1.9,15.4,0.0,0.1,0.0,0.0,0.0,0.0,25.6,32.2
